season,date,opponent,opp_abbr,home_score,away_score,home_win,attendance,is_evening,temperature_f,precipitation_mm,day_of_week,month,is_weekend,home_game_num,home_games_total,season_progress,is_rivalry,home_win_rate_last5,opp_win_rate_season,venue_capacity,attendance_pct
2001,2000-10-06,Montreal Canadiens,MTL,8.0,4.0,1,19040,1,73.6,0.0,4,10,0,1,41,0.024390243902439025,0,0.5,0.5,19040,1.0
2001,2000-10-14,Anaheim Mighty Ducks,ANA,4.0,2.0,1,14789,1,76.3,0.0,5,10,1,2,41,0.04878048780487805,0,1.0,0.5,19040,0.7767331932773109
2001,2000-10-21,Tampa Bay Lightning,TB,7.0,2.0,1,15097,1,72.5,0.0,5,10,1,3,41,0.07317073170731707,0,1.0,0.5,19040,0.7929096638655462
2001,2000-10-31,Florida Panthers,FLA,6.0,5.0,1,13168,1,56.3,0.0,1,10,0,4,41,0.0975609756097561,0,1.0,0.5,19040,0.6915966386554622
2001,2000-11-02,Philadelphia Flyers,PHI,1.0,1.0,0,15347,1,61.7,0.0,3,11,0,5,41,0.12195121951219512,1,1.0,0.5,19040,0.8060399159663866
2001,2000-11-04,Los Angeles Kings,LA,1.0,2.0,0,13704,0,66.2,0.0,5,11,1,6,41,0.14634146341463414,0,0.8,0.5,19040,0.7197478991596639
2001,2000-11-09,Nashville Predators,NSH,3.0,4.0,0,15978,1,60.8,2.0,3,11,0,7,41,0.17073170731707318,0,0.6,0.5,19040,0.8391806722689076
2001,2000-11-11,Pittsburgh Penguins,PIT,2.0,4.0,0,16035,1,53.9,1.0,5,11,1,8,41,0.1951219512195122,1,0.4,0.5,19040,0.8421743697478992
2001,2000-11-12,Buffalo Sabres,BUF,0.0,4.0,0,15011,1,53.6,0.0,6,11,1,9,41,0.21951219512195122,0,0.2,0.5,19040,0.7883928571428571
2001,2000-11-15,San Jose Sharks,SJ,2.0,3.0,0,12991,1,47.2,0.0,2,11,0,10,41,0.24390243902439024,0,0.0,0.5,19040,0.6823004201680672
2001,2000-11-18,Carolina Hurricanes,CAR,3.0,2.0,1,16051,0,45.2,0.0,5,11,1,11,41,0.2682926829268293,0,0.0,0.5,19040,0.8430147058823529
2001,2000-11-30,New York Rangers,NYR,5.0,2.0,1,19040,1,45.0,3.4,3,11,0,12,41,0.2926829268292683,1,0.2,0.5,19040,1.0
2001,2000-12-02,New York Islanders,NYI,0.0,0.0,0,17002,1,34.2,0.0,5,12,1,13,41,0.3170731707317073,1,0.4,0.5,19040,0.8929621848739496
2001,2000-12-06,Colorado Avalanche,COL,6.0,1.0,1,14865,1,31.8,0.0,2,12,0,14,41,0.34146341463414637,0,0.4,0.5,19040,0.7807247899159664
2001,2000-12-09,Washington Capitals,WSH,2.0,3.0,0,15043,0,34.7,0.0,5,12,1,15,41,0.36585365853658536,0,0.6,0.5,19040,0.7900735294117647
2001,2000-12-12,Atlanta Thrashers,ATL,4.0,0.0,1,10014,1,47.0,1.1,1,12,0,16,41,0.3902439024390244,0,0.6,0.5,19040,0.5259453781512605
2001,2000-12-16,Montreal Canadiens,MTL,2.0,1.0,1,13811,1,51.3,6.7,5,12,1,17,41,0.4146341463414634,0,0.6,0.0,19040,0.7253676470588235
2001,2000-12-21,Dallas Stars,DAL,4.0,1.0,1,14892,1,32.8,0.0,3,12,0,18,41,0.43902439024390244,0,0.6,0.5,19040,0.7821428571428571
2001,2000-12-28,Columbus Blue Jackets,CBJ,2.0,2.0,0,16003,1,24.7,0.0,3,12,0,19,41,0.4634146341463415,0,0.8,0.5,19040,0.8404936974789916
2001,2000-12-30,Washington Capitals,WSH,4.0,2.0,1,15674,1,29.9,27.5,5,12,1,20,41,0.4878048780487805,0,0.6,1.0,19040,0.8232142857142857
2001,2001-01-03,Philadelphia Flyers,PHI,1.0,1.0,0,16349,1,25.3,0.0,2,1,0,21,41,0.5121951219512195,1,0.8,1.0,19040,0.8586659663865546
2001,2001-01-05,New York Islanders,NYI,4.0,2.0,1,13924,1,30.6,4.0,4,1,0,22,41,0.5365853658536586,1,0.6,1.0,19040,0.7313025210084033
2001,2001-01-11,Phoenix Coyotes,PHX,5.0,1.0,1,15348,1,41.4,0.0,3,1,0,23,41,0.5609756097560976,0,0.6,0.5,19040,0.8060924369747899
2001,2001-01-14,Toronto Maple Leafs,TOR,4.0,4.0,0,19040,1,40.6,0.1,6,1,1,24,41,0.5853658536585366,0,0.6,0.5,19040,1.0
2001,2001-01-17,Boston Bruins,BOS,4.0,5.0,0,14010,1,40.3,0.0,2,1,0,25,41,0.6097560975609756,0,0.6,0.5,19040,0.7358193277310925
2001,2001-01-20,Atlanta Thrashers,ATL,3.0,2.0,1,18026,0,35.1,13.0,5,1,1,26,41,0.6341463414634146,0,0.4,0.0,19040,0.9467436974789916
2001,2001-01-31,Detroit Red Wings,DET,3.0,1.0,1,18018,1,46.9,0.0,2,1,0,27,41,0.6585365853658537,0,0.6,0.5,19040,0.9463235294117647
2001,2001-02-15,Ottawa Senators,OTT,2.0,3.0,0,16291,1,44.6,0.0,3,2,0,28,41,0.6829268292682927,0,0.6,0.5,19040,0.8556197478991596
2001,2001-02-17,Pittsburgh Penguins,PIT,4.0,4.0,0,19040,1,36.4,1.5,5,2,1,29,41,0.7073170731707317,1,0.4,1.0,19040,1.0
2001,2001-02-23,Buffalo Sabres,BUF,0.0,1.0,0,6203,1,37.1,1.3,4,2,0,30,41,0.7317073170731707,0,0.4,1.0,19040,0.32578781512605043
2001,2001-02-27,Florida Panthers,FLA,5.0,3.0,1,14114,1,50.9,0.0,1,2,0,31,41,0.7560975609756098,0,0.4,0.0,19040,0.741281512605042
2001,2001-03-03,Carolina Hurricanes,CAR,7.0,3.0,1,15159,1,47.0,0.0,5,3,1,32,41,0.7804878048780488,0,0.4,0.0,19040,0.7961659663865546
2001,2001-03-04,Tampa Bay Lightning,TB,6.0,0.0,1,13378,1,35.6,6.7,6,3,1,33,41,0.8048780487804879,0,0.4,0.0,19040,0.702626050420168
2001,2001-03-07,Ottawa Senators,OTT,3.0,2.0,1,13456,1,39.9,0.1,2,3,0,34,41,0.8292682926829268,0,0.6,1.0,19040,0.7067226890756303
2001,2001-03-09,Minnesota Wild,MIN,6.0,2.0,1,15171,1,41.0,9.2,4,3,0,35,41,0.8536585365853658,0,0.8,0.5,19040,0.7967962184873949
2001,2001-03-22,New York Rangers,NYR,4.0,0.0,1,19040,1,45.0,6.4,3,3,0,36,41,0.8780487804878049,1,1.0,0.0,19040,1.0
2001,2001-03-24,Vancouver Canucks,VAN,4.0,0.0,1,17995,1,52.1,0.8,5,3,1,37,41,0.9024390243902439,0,1.0,0.5,19040,0.9451155462184874
2001,2001-03-25,Pittsburgh Penguins,PIT,2.0,4.0,0,19040,0,44.2,0.0,6,3,1,38,41,0.926829268292683,1,1.0,1.0,19040,1.0
2001,2001-03-31,New York Rangers,NYR,3.0,4.0,0,19040,0,48.9,0.3,5,3,1,39,41,0.9512195121951219,1,0.8,0.0,19040,1.0
2001,2001-04-02,Chicago Blackhawks,CHI,4.0,3.0,1,16103,1,49.1,0.6,0,4,0,40,41,0.975609756097561,0,0.6,0.5,19040,0.8457457983193277
2001,2001-04-06,Boston Bruins,BOS,5.0,2.0,1,19040,1,51.5,4.6,4,4,0,41,41,1.0,0,0.6,1.0,19040,1.0
2002,2001-10-11,New York Islanders,NYI,4.0,6.0,0,17123,1,74.1,0.0,3,10,0,1,41,0.024390243902439025,1,0.6,0.5,19040,0.8993172268907563
2002,2001-10-18,San Jose Sharks,SJ,6.0,1.0,1,14028,1,56.4,0.0,3,10,0,2,41,0.04878048780487805,0,0.4,0.5,19040,0.736764705882353
