season,date,opponent,opp_abbr,home_score,away_score,home_win,attendance,is_evening,temperature_f,precipitation_mm,day_of_week,month,is_weekend,home_game_num,home_games_total,season_progress,is_rivalry,home_win_rate_last5,opp_win_rate_season,venue_capacity,attendance_pct
2001,2000-11-01,Philadelphia 76ers,PHI,72.0,101.0,0,19763,1,55.5,0.0,2,11,0,1,41,0.024390243902439025,0,0.5,0.5,19763,1.0
2001,2000-11-03,Atlanta Hawks,ATL,94.0,69.0,1,19763,1,62.2,0.0,4,11,0,2,41,0.04878048780487805,0,0.0,0.5,19763,1.0
2001,2000-11-09,Cleveland Cavaliers,CLE,97.0,99.0,0,19763,1,59.5,1.0,3,11,0,3,41,0.07317073170731707,0,0.5,0.5,19763,1.0
2001,2000-11-12,Charlotte Hornets,CHA,81.0,67.0,1,19763,1,52.3,0.0,6,11,1,4,41,0.0975609756097561,0,0.3333333333333333,0.5,19763,1.0
2001,2000-11-20,Golden State Warriors,GS,88.0,71.0,1,19763,1,42.8,1.9,0,11,0,5,41,0.12195121951219512,0,0.5,0.5,19763,1.0
2001,2000-11-25,Toronto Raptors,TOR,75.0,79.0,0,19763,0,41.1,0.0,5,11,1,6,41,0.14634146341463414,0,0.6,0.5,19763,1.0
2001,2000-11-28,Vancouver Grizzlies,VAN,97.0,72.0,1,19763,1,48.2,0.0,1,11,0,7,41,0.17073170731707318,0,0.6,0.5,19763,1.0
2001,2000-11-30,Miami Heat,MIA,81.0,84.0,0,19763,1,44.0,3.8,3,11,0,8,41,0.1951219512195122,1,0.6,0.5,19763,1.0
2001,2000-12-03,Minnesota Timberwolves,MIN,100.0,90.0,1,19763,1,34.0,0.0,6,12,1,9,41,0.21951219512195122,0,0.6,0.5,19763,1.0
2001,2000-12-05,Los Angeles Clippers,LAC,106.0,78.0,1,19763,1,42.8,0.0,1,12,0,10,41,0.24390243902439024,0,0.6,0.5,19763,1.0
2001,2000-12-10,Denver Nuggets,DEN,96.0,88.0,1,19763,1,39.7,0.6,6,12,1,11,41,0.2682926829268293,0,0.6,0.5,19763,1.0
2001,2000-12-16,Utah Jazz,UTAH,58.0,89.0,0,19763,1,50.5,5.8,5,12,1,12,41,0.2926829268292683,0,0.8,0.5,19763,1.0
2001,2000-12-17,Milwaukee Bucks,MIL,100.0,97.0,1,19763,1,59.2,21.6,6,12,1,13,41,0.3170731707317073,0,0.6,0.5,19763,1.0
2001,2000-12-22,Boston Celtics,BOS,86.0,92.0,0,19763,1,32.5,1.4,4,12,0,14,41,0.34146341463414637,1,0.8,0.5,19763,1.0
2001,2000-12-30,Chicago Bulls,CHI,95.0,68.0,1,19763,1,31.0,28.3,5,12,1,15,41,0.36585365853658536,1,0.6,0.5,19763,1.0
2001,2001-01-05,Orlando Magic,ORL,95.0,92.0,1,19763,1,30.5,4.3,4,1,0,16,41,0.3902439024390244,0,0.6,0.5,19763,1.0
