season,date,opp_abbr,home_win,attendance,is_evening,venue_capacity,lat,lon,opponent,temperature_f,precipitation_mm,day_of_week,month,is_weekend,home_game_num,home_games_total,season_progress,is_rivalry,home_win_rate_last5,opp_win_rate_season,attendance_pct
2000,2000-04-12,TEX,1,48487,0,57545,40.8296,-73.9262,Texas Rangers,49.8,1.0,2,4,0,1,80,0.0125,0,0.5,0.5,0.842592753497263
2000,2000-04-13,TEX,1,23805,1,57545,40.8296,-73.9262,Texas Rangers,48.2,0.0,3,4,0,2,80,0.025,0,1.0,0.0,0.4136762533669302
2000,2000-04-14,KCR,1,33094,1,57545,40.8296,-73.9262,Kansas City Royals,52.3,0.0,4,4,0,3,80,0.0375,0,1.0,0.5,0.5750977495872795
2000,2000-04-15,KCR,1,34056,0,57545,40.8296,-73.9262,Kansas City Royals,61.7,5.0,5,4,1,4,80,0.05,0,1.0,0.0,0.5918151012251281
2000,2000-04-16,KCR,1,36724,0,57545,40.8296,-73.9262,Kansas City Royals,73.5,6.4,6,4,1,5,80,0.0625,0,1.0,0.0,0.63817881657833
2000,2000-04-24,MIN,0,35693,0,57545,40.8296,-73.9262,Minnesota Twins,65.4,0.0,0,4,0,6,80,0.075,0,1.0,0.5,0.6202624033365193
2000,2000-04-25,MIN,0,27372,1,57545,40.8296,-73.9262,Minnesota Twins,56.1,0.0,1,4,0,7,80,0.0875,0,0.8,1.0,0.4756625249804501
2000,2000-04-26,MIN,1,27919,0,57545,40.8296,-73.9262,Minnesota Twins,46.0,0.1,2,4,0,8,80,0.1,0,0.6,1.0,0.48516812929012076
2000,2000-04-28,TOR,1,35987,1,57545,40.8296,-73.9262,Toronto Blue Jays,57.3,0.1,4,4,0,9,80,0.1125,0,0.6,0.5,0.6253714484316621
2000,2000-04-29,TOR,0,38783,0,57545,40.8296,-73.9262,Toronto Blue Jays,63.5,0.0,5,4,1,10,80,0.125,0,0.6,0.0,0.6739595099487358
2000,2000-04-30,TOR,1,43721,0,57545,40.8296,-73.9262,Toronto Blue Jays,61.3,0.0,6,4,1,11,80,0.1375,0,0.4,0.5,0.7597706143018508
2000,2000-05-05,BAL,1,42244,1,57545,40.8296,-73.9262,Baltimore Orioles,82.2,2.3,4,5,0,12,80,0.15,0,0.6,0.5,0.7341037448952993
2000,2000-05-06,BAL,1,54350,0,57545,40.8296,-73.9262,Baltimore Orioles,83.5,0.0,5,5,1,13,80,0.1625,0,0.8,0.0,0.9444782344252324
2000,2000-05-07,BAL,0,52559,0,57545,40.8296,-73.9262,Baltimore Orioles,87.4,0.0,6,5,1,14,80,0.175,0,0.8,0.0,0.9133547658354332
2000,2000-05-08,TBD,1,25361,1,57545,40.8296,-73.9262,TBD,86.9,0.7,0,5,0,15,80,0.1875,0,0.6,0.5,0.4407159614214962
2000,2000-05-09,TBD,1,23097,1,57545,40.8296,-73.9262,TBD,87.7,0.0,1,5,0,16,80,0.2,0,0.8,0.0,0.4013728386480146
2000,2000-05-11,TBD,0,14292,1,57545,40.8296,-73.9262,TBD,70.9,0.0,3,5,0,17,80,0.2125,0,0.8,0.0,0.24836215135980538
2000,2000-05-16,CHW,0,31143,1,57545,40.8296,-73.9262,Chicago White Sox,66.2,0.0,1,5,0,18,80,0.225,0,0.6,0.5,0.5411938482926405
2000,2000-05-17,CHW,1,26887,1,57545,40.8296,-73.9262,Chicago White Sox,67.0,0.0,2,5,0,19,80,0.2375,0,0.4,1.0,0.46723433834390476
2000,2000-05-26,BOS,0,54470,1,57545,40.8296,-73.9262,Boston Red Sox,72.3,0.0,4,5,0,20,80,0.25,1,0.6,0.5,0.9465635589538622
2000,2000-05-27,BOS,1,55671,0,57545,40.8296,-73.9262,Boston Red Sox,67.6,0.0,5,5,1,21,80,0.2625,1,0.4,1.0,0.9674341819445651
2000,2000-05-28,BOS,0,55339,1,57545,40.8296,-73.9262,Boston Red Sox,65.1,0.0,6,5,1,22,80,0.275,1,0.4,0.5,0.9616647840820227
2000,2000-05-29,OAK,1,41284,0,57545,40.8296,-73.9262,Oakland Athletics,62.3,0.0,0,5,0,23,80,0.2875,0,0.4,0.5,0.7174211486662612
2000,2000-05-30,OAK,0,26360,1,57545,40.8296,-73.9262,Oakland Athletics,60.5,0.0,1,5,0,24,80,0.3,0,0.6,0.0,0.458076288122339
